file_index,file_name,dtw_distance
0,Buka - Copy (10).mp3,132.8735559576537
72,Buka - Copy (76).mp3,132.8735559576537
71,Buka - Copy (75).mp3,132.8735559576537
70,Buka - Copy (74).mp3,132.8735559576537
69,Buka - Copy (73).mp3,132.8735559576537
68,Buka - Copy (72).mp3,132.8735559576537
67,Buka - Copy (71).mp3,132.8735559576537
66,Buka - Copy (70).mp3,132.8735559576537
65,Buka - Copy (7).mp3,132.8735559576537
64,Buka - Copy (69).mp3,132.8735559576537
63,Buka - Copy (68).mp3,132.8735559576537
62,Buka - Copy (67).mp3,132.8735559576537
61,Buka - Copy (66).mp3,132.8735559576537
60,Buka - Copy (65).mp3,132.8735559576537
59,Buka - Copy (64).mp3,132.8735559576537
58,Buka - Copy (63).mp3,132.8735559576537
57,Buka - Copy (62).mp3,132.8735559576537
56,Buka - Copy (61).mp3,132.8735559576537
55,Buka - Copy (60).mp3,132.8735559576537
54,Buka - Copy (6).mp3,132.8735559576537
53,Buka - Copy (59).mp3,132.8735559576537
52,Buka - Copy (58).mp3,132.8735559576537
73,Buka - Copy (77).mp3,132.8735559576537
51,Buka - Copy (57).mp3,132.8735559576537
74,Buka - Copy (78).mp3,132.8735559576537
76,Buka - Copy (8).mp3,132.8735559576537
97,Buka - Copy (99).mp3,132.8735559576537
96,Buka - Copy (98).mp3,132.8735559576537
95,Buka - Copy (97).mp3,132.8735559576537
94,Buka - Copy (96).mp3,132.8735559576537
93,Buka - Copy (95).mp3,132.8735559576537
92,Buka - Copy (94).mp3,132.8735559576537
91,Buka - Copy (93).mp3,132.8735559576537
90,Buka - Copy (92).mp3,132.8735559576537
89,Buka - Copy (91).mp3,132.8735559576537
88,Buka - Copy (90).mp3,132.8735559576537
87,Buka - Copy (9).mp3,132.8735559576537
86,Buka - Copy (89).mp3,132.8735559576537
85,Buka - Copy (88).mp3,132.8735559576537
84,Buka - Copy (87).mp3,132.8735559576537
83,Buka - Copy (86).mp3,132.8735559576537
82,Buka - Copy (85).mp3,132.8735559576537
81,Buka - Copy (84).mp3,132.8735559576537
80,Buka - Copy (83).mp3,132.8735559576537
79,Buka - Copy (82).mp3,132.8735559576537
78,Buka - Copy (81).mp3,132.8735559576537
77,Buka - Copy (80).mp3,132.8735559576537
75,Buka - Copy (79).mp3,132.8735559576537
50,Buka - Copy (56).mp3,132.8735559576537
49,Buka - Copy (55).mp3,132.8735559576537
48,Buka - Copy (54).mp3,132.8735559576537
21,Buka - Copy (3).mp3,132.8735559576537
20,Buka - Copy (29).mp3,132.8735559576537
19,Buka - Copy (28).mp3,132.8735559576537
18,Buka - Copy (27).mp3,132.8735559576537
17,Buka - Copy (26).mp3,132.8735559576537
16,Buka - Copy (25).mp3,132.8735559576537
15,Buka - Copy (24).mp3,132.8735559576537
14,Buka - Copy (23).mp3,132.8735559576537
13,Buka - Copy (22).mp3,132.8735559576537
12,Buka - Copy (21).mp3,132.8735559576537
11,Buka - Copy (20).mp3,132.8735559576537
10,Buka - Copy (2).mp3,132.8735559576537
9,Buka - Copy (19).mp3,132.8735559576537
8,Buka - Copy (18).mp3,132.8735559576537
7,Buka - Copy (17).mp3,132.8735559576537
6,Buka - Copy (16).mp3,132.8735559576537
5,Buka - Copy (15).mp3,132.8735559576537
4,Buka - Copy (14).mp3,132.8735559576537
3,Buka - Copy (13).mp3,132.8735559576537
2,Buka - Copy (12).mp3,132.8735559576537
1,Buka - Copy (11).mp3,132.8735559576537
22,Buka - Copy (30).mp3,132.8735559576537
23,Buka - Copy (31).mp3,132.8735559576537
24,Buka - Copy (32).mp3,132.8735559576537
25,Buka - Copy (33).mp3,132.8735559576537
47,Buka - Copy (53).mp3,132.8735559576537
46,Buka - Copy (52).mp3,132.8735559576537
45,Buka - Copy (51).mp3,132.8735559576537
44,Buka - Copy (50).mp3,132.8735559576537
43,Buka - Copy (5).mp3,132.8735559576537
42,Buka - Copy (49).mp3,132.8735559576537
41,Buka - Copy (48).mp3,132.8735559576537
40,Buka - Copy (47).mp3,132.8735559576537
39,Buka - Copy (46).mp3,132.8735559576537
38,Buka - Copy (45).mp3,132.8735559576537
98,Buka - Copy.mp3,132.8735559576537
37,Buka - Copy (44).mp3,132.8735559576537
35,Buka - Copy (42).mp3,132.8735559576537
34,Buka - Copy (41).mp3,132.8735559576537
33,Buka - Copy (40).mp3,132.8735559576537
32,Buka - Copy (4).mp3,132.8735559576537
31,Buka - Copy (39).mp3,132.8735559576537
30,Buka - Copy (38).mp3,132.8735559576537
29,Buka - Copy (37).mp3,132.8735559576537
28,Buka - Copy (36).mp3,132.8735559576537
27,Buka - Copy (35).mp3,132.8735559576537
26,Buka - Copy (34).mp3,132.8735559576537
36,Buka - Copy (43).mp3,132.8735559576537
99,Buka.mp3,132.8735559576537
