pitch_max,pitch_mean,mfcc_2_mean,mfcc_16_mean,mfcc_1_mean,mfcc_20_mean,spectral_centroid_min,mfcc_1_std,mfcc_8_mean,mfcc_16_max,spectral_rolloff_std,mfcc_11_mean,mfcc_2_max,duration,mfcc_8_std,mfcc_10_mean,mfcc_13_mean,mfcc_20_max,mfcc_11_max,mfcc_2_std,mfcc_18_mean,mfcc_12_mean,spectral_bandwidth_std,pitch_min,mfcc_1_max,skewness,mfcc_3_std,mfcc_16_std,mfcc_9_mean,spectral_centroid_std,label,filename
260.1187129259726,200.82807371930343,97.51214,-7.8555527,-446.69458,-6.356963,0.0,129.31645,-6.670718,5.01958,2449.0805371143265,-3.1943393,174.92671,1.4640362811791383,14.037548,4.6338396,-9.277963,4.0103807,8.524358,53.347527,-1.8825643,-5.8764753,795.6413280710442,127.08879665595002,-174.39986,1.8602909151250857,38.117382,6.952742,-4.860689,1093.7292484479724,nadia_buka,buka54.mp3
238.52991146631203,211.76033113971425,99.94687,-8.91509,-481.94196,-6.7815933,0.0,136.01968,-12.076736,3.3337436,2675.974936614044,-6.3140283,179.71077,1.2240362811791383,13.255755,-2.8046558,-9.240068,2.0255113,9.517782,62.954414,-4.104473,-2.9534605,847.1924877647563,171.61434972294217,-232.21004,1.473929955039354,25.733036,7.8569775,-9.234449,1259.5595869957904,nadia_buka,buka63.mp3
255.6500291307247,207.56122852808934,95.62258,-11.116876,-427.8809,-3.6713028,0.0,122.17352,-3.3449423,0.0,2025.2981552121923,-5.0729985,173.69675,1.7520181405895692,18.11075,-1.4696485,-11.931954,5.2159867,10.408111,50.73366,-4.9556346,-5.4819016,653.6576168730842,161.9823763910578,-161.57565,2.10772839556625,34.90164,6.85028,2.2018046,888.6917662751188,nadia_buka,buka33.mp3
226.44649206156825,170.45163000248598,54.75731,-6.5694947,-431.85214,-2.8637311,0.0,141.62157,-7.5800166,3.5455742,1476.084839405484,-3.5474427,212.08032,2.352018140589569,17.448053,-0.53407335,-9.766773,7.2179585,6.496991,53.7088,-4.923857,-3.4556837,459.1542698361291,88.83315834800462,-112.98277,0.7581973104725144,26.886524,8.369272,4.1329517,684.3196252076144,nadia_buka,buka4.mp3
242.6993408760242,200.17916739284294,95.44407,-10.248513,-441.91855,-4.306578,0.0,133.41286,-0.55652374,0.33826768,2063.8520782156443,-4.229247,194.29019,1.7040362811791383,18.330896,-0.9251993,-9.918189,4.532618,10.230354,51.82332,-5.6175895,-5.301695,647.3071103823513,159.19961611844158,-147.03496,1.9166459329842418,31.115839,8.781981,2.4820821,890.0756689675703,nadia_buka,buka32.mp3
241.30149553281768,216.44845073362995,106.12434,-11.692267,-454.22006,-7.6360636,0.0,118.89145,-9.258981,2.775403,2211.9266893978424,-9.862365,202.78157,1.2720181405895692,14.795331,-2.3252118,-8.535661,0.0,0.0,66.31865,-6.236206,-10.793107,791.6649319993118,180.77186920887385,-196.32454,1.5174197649484928,25.406162,11.783567,-11.113908,947.947361523962,nadia_buka,buka86.mp3
226.44649206156825,164.97827313031974,96.54944,-11.827,-443.42487,-4.8872876,0.0,112.18365,-11.105855,0.47305024,2166.6495132638793,-9.201779,181.1022,1.1760090702947845,15.330177,-3.9038525,-11.102134,2.3592498,4.1815195,63.770725,-4.782843,-7.485234,737.2537132203629,77.78174593052022,-250.04485,1.2679606600721651,31.044872,11.755987,-2.9982924,986.4111207175173,nadia_buka,buka45.mp3
249.81097439559304,211.89545824244502,105.55695,-9.075583,-472.84982,-4.461185,0.0,134.04828,-10.751707,5.8365784,2613.8885196868396,-8.8836,174.19589,1.2960090702947846,17.90522,-1.799822,-8.470839,10.659523,9.785007,56.12403,-2.8942986,-3.7104166,783.1550785837584,163.86452094349724,-203.48495,1.6576818733184047,24.875307,8.565079,-8.945347,1393.1837419242386,nadia_buka,buka62.mp3
233.08188075904494,217.01770590152137,91.74693,-12.450022,-417.13223,-6.935669,0.0,137.59409,-13.053015,0.0,2441.8372646525145,-11.30698,192.73892,0.8640362811791383,15.057079,-7.073888,-11.070074,0.012509307,0.0,75.01299,-4.607956,-9.920695,850.9929996641222,201.74088950502764,-202.34828,0.4710797018089234,26.3119,12.818059,-9.806579,1078.2205575355115,nadia_buka,buka76.mp3
269.2917795270241,172.74901655415403,113.91006,-13.132019,-463.68533,-5.3090935,0.0,130.45775,-11.1575985,0.0,2452.472978856831,-9.34392,185.40396,1.3440362811791384,18.840834,4.658373,-9.841295,2.186964,7.4889927,61.986668,-3.9792306,-2.9483135,832.4768973864235,69.6970834057884,-203.93947,1.5759846581966264,30.973766,10.029912,-2.839292,1061.7584232720014,nadia_buka,buka52.mp3
