date,feature_index,NO2
2020-08-22T00:00:00.000Z,0,1.9330553609612505E-5
2020-08-26T00:00:00.000Z,0,2.2227716338344788E-5
2020-08-12T00:00:00.000Z,0,1.755257244440145E-5
2020-08-07T00:00:00.000Z,0,2.533443125685153E-5
2020-08-09T00:00:00.000Z,0,1.4232052785700944E-5
2020-08-06T00:00:00.000Z,0,2.1061994175397558E-5
2020-08-11T00:00:00.000Z,0,
2020-08-10T00:00:00.000Z,0,1.5024129728165766E-5
2020-08-08T00:00:00.000Z,0,2.2009967820353765E-5
2020-08-13T00:00:00.000Z,0,7.233497854031157E-6
2020-06-07T00:00:00.000Z,0,2.47618963140457E-5
2020-06-10T00:00:00.000Z,0,1.6029784327892464E-5
2020-06-09T00:00:00.000Z,0,2.015080868610263E-5
2020-06-04T00:00:00.000Z,0,1.5788659868344345E-5
2020-06-06T00:00:00.000Z,0,2.8240121099332572E-5
2020-06-05T00:00:00.000Z,0,1.1450578725202831E-5
2020-06-08T00:00:00.000Z,0,1.933730209735529E-5
2020-06-03T00:00:00.000Z,0,1.4564866815237931E-5
2020-06-20T00:00:00.000Z,0,1.0570036617233805E-5
2020-06-26T00:00:00.000Z,0,2.9095940681145295E-5
2020-06-23T00:00:00.000Z,0,1.7938133649093084E-5
2020-06-24T00:00:00.000Z,0,9.752767322850637E-6
2020-06-19T00:00:00.000Z,0,1.536263563157634E-5
2020-06-21T00:00:00.000Z,0,1.656648733346215E-5
2020-06-25T00:00:00.000Z,0,3.082895628065469E-5
2020-06-22T00:00:00.000Z,0,1.4454876386147722E-5
2020-09-17T00:00:00.000Z,0,2.0020345940653126E-5
2020-09-15T00:00:00.000Z,0,2.765592771105557E-5
2020-09-19T00:00:00.000Z,0,1.8844343719374243E-5
2020-09-21T00:00:00.000Z,0,2.4818055806008488E-5
2020-09-18T00:00:00.000Z,0,
2020-09-16T00:00:00.000Z,0,2.715893200339841E-5
2020-09-20T00:00:00.000Z,0,2.1351592360068545E-5
2020-09-22T00:00:00.000Z,0,1.7367863380825026E-5
2021-05-30T00:00:00.000Z,0,2.5420335207724876E-5
2021-05-29T00:00:00.000Z,0,1.9859159995879356E-5
2020-08-31T00:00:00.000Z,0,1.6961307338556835E-5
2020-08-30T00:00:00.000Z,0,2.5102676426800116E-5
2020-09-02T00:00:00.000Z,0,
2020-09-05T00:00:00.000Z,0,2.3993329298477306E-5
2020-09-01T00:00:00.000Z,0,3.012214856425999E-5
2020-09-06T00:00:00.000Z,0,2.3069261897035175E-5
2020-09-04T00:00:00.000Z,0,1.773028493706382E-5
2020-09-03T00:00:00.000Z,0,2.0250972251493033E-5
2021-05-25T00:00:00.000Z,0,1.9268209855553046E-5
2021-05-21T00:00:00.000Z,0,2.627941412356449E-5
2021-05-24T00:00:00.000Z,0,1.2050606619595782E-5
2021-05-26T00:00:00.000Z,0,2.1241706963337493E-5
2021-05-22T00:00:00.000Z,0,3.561714867019974E-5
2021-05-28T00:00:00.000Z,0,1.5049871763039846E-5
2021-05-27T00:00:00.000Z,0,2.7403739113651682E-5
2021-05-23T00:00:00.000Z,0,2.7190464425075334E-5
2020-05-08T00:00:00.000Z,0,1.5804340515993925E-5
2020-05-07T00:00:00.000Z,0,1.4439326166253027E-5
2020-05-05T00:00:00.000Z,0,
2020-05-03T00:00:00.000Z,0,2.9933013744691078E-5
2020-05-06T00:00:00.000Z,0,1.352036289640287E-5
2020-05-02T00:00:00.000Z,0,1.7797657643601078E-5
2020-05-09T00:00:00.000Z,0,
2020-05-04T00:00:00.000Z,0,8.513701232004678E-6
2020-05-01T00:00:00.000Z,0,1.3839849240563732E-5
2020-04-30T00:00:00.000Z,0,
2020-06-30T00:00:00.000Z,0,
2020-06-27T00:00:00.000Z,0,2.534114977000475E-5
2020-07-01T00:00:00.000Z,0,2.2886357707344967E-5
2020-06-28T00:00:00.000Z,0,3.095776551989812E-5
2020-07-02T00:00:00.000Z,0,1.9933380358719768E-5
2020-07-03T00:00:00.000Z,0,1.9272855399178395E-5
2020-06-29T00:00:00.000Z,0,1.7396513794665224E-5
2020-07-04T00:00:00.000Z,0,1.6022976914038217E-5
2020-08-02T00:00:00.000Z,0,2.212389136325833E-5
2020-08-05T00:00:00.000Z,0,1.890822997868074E-5
2020-08-01T00:00:00.000Z,0,
2020-07-29T00:00:00.000Z,0,2.498538515283144E-5
2020-07-31T00:00:00.000Z,0,2.8778619692578408E-5
2020-08-03T00:00:00.000Z,0,2.311529393679208E-5
2020-07-30T00:00:00.000Z,0,2.8291732948617913E-5
2020-08-04T00:00:00.000Z,0,
2020-07-15T00:00:00.000Z,0,1.8782364956374902E-5
2020-07-19T00:00:00.000Z,0,2.78446542639498E-5
2020-07-20T00:00:00.000Z,0,1.4658360385055857E-5
2020-07-14T00:00:00.000Z,0,1.1875800396410341E-5
2020-07-16T00:00:00.000Z,0,
2020-07-18T00:00:00.000Z,0,1.3218712017144908E-5
2020-07-17T00:00:00.000Z,0,1.5000498354890045E-5
2020-07-13T00:00:00.000Z,0,1.1650957887354707E-5
2020-12-02T00:00:00.000Z,0,
2020-11-30T00:00:00.000Z,0,
2020-11-27T00:00:00.000Z,0,
2020-11-26T00:00:00.000Z,0,
2020-12-01T00:00:00.000Z,0,1.0635149374138564E-4
2020-12-03T00:00:00.000Z,0,
2020-11-29T00:00:00.000Z,0,4.754653878080717E-5
2020-11-28T00:00:00.000Z,0,3.0337567225685165E-5
2020-07-28T00:00:00.000Z,0,1.6568108321735053E-5
2020-07-24T00:00:00.000Z,0,1.6284854413765486E-5
2020-07-26T00:00:00.000Z,0,2.1247623976705654E-5
2020-07-22T00:00:00.000Z,0,6.794380876979429E-6
2020-07-27T00:00:00.000Z,0,2.037489812952414E-5
2020-07-23T00:00:00.000Z,0,1.879072929347249E-5
2020-07-21T00:00:00.000Z,0,6.768552339053713E-6
2020-07-25T00:00:00.000Z,0,1.9120554332137846E-5
2020-05-10T00:00:00.000Z,0,5.248750909458977E-6
